op_name,kernel_source,num_tokens,hidden,inter,num_experts,topk,ep_size,num_local_experts,dtype,latency_us
moe_dispatch_combine,vllm_ascend_FusedMC2,2,6144,2048,256,8,4,64,bf16,915.6208
moe_dispatch_combine,vllm_ascend_FusedMC2,2,6144,2048,256,8,4,64,w8a8_dynamic,523.5508
moe_dispatch_combine,vllm_ascend_FusedMC2,3,6144,2048,256,8,4,64,bf16,1298.7492
moe_dispatch_combine,vllm_ascend_FusedMC2,3,6144,2048,256,8,4,64,w8a8_dynamic,714.9416
moe_dispatch_combine,vllm_ascend_FusedMC2,4,6144,2048,256,8,4,64,bf16,1684.7388
moe_dispatch_combine,vllm_ascend_FusedMC2,4,6144,2048,256,8,4,64,w8a8_dynamic,905.3624
moe_dispatch_combine,vllm_ascend_FusedMC2,6,6144,2048,256,8,4,64,bf16,2451.4876
moe_dispatch_combine,vllm_ascend_FusedMC2,6,6144,2048,256,8,4,64,w8a8_dynamic,1274.2496
moe_dispatch_combine,vllm_ascend_FusedMC2,8,6144,2048,256,8,4,64,bf16,3199.1641
moe_dispatch_combine,vllm_ascend_FusedMC2,8,6144,2048,256,8,4,64,w8a8_dynamic,1657.5935
moe_dispatch_combine,vllm_ascend_FusedMC2,12,6144,2048,256,8,4,64,bf16,3214.3057
moe_dispatch_combine,vllm_ascend_FusedMC2,12,6144,2048,256,8,4,64,w8a8_dynamic,1634.6120
moe_dispatch_combine,vllm_ascend_FusedMC2,16,6144,2048,256,8,4,64,bf16,3201.3483
moe_dispatch_combine,vllm_ascend_FusedMC2,16,6144,2048,256,8,4,64,w8a8_dynamic,1655.8984
moe_dispatch_combine,vllm_ascend_FusedMC2,24,6144,2048,256,8,4,64,bf16,3212.4472
moe_dispatch_combine,vllm_ascend_FusedMC2,24,6144,2048,256,8,4,64,w8a8_dynamic,1660.5331
moe_dispatch_combine,vllm_ascend_FusedMC2,32,6144,2048,256,8,4,64,bf16,3218.4991
moe_dispatch_combine,vllm_ascend_FusedMC2,32,6144,2048,256,8,4,64,w8a8_dynamic,1657.9784
moe_dispatch_combine,vllm_ascend_FusedMC2,48,6144,2048,256,8,4,64,bf16,3217.6120
moe_dispatch_combine,vllm_ascend_FusedMC2,48,6144,2048,256,8,4,64,w8a8_dynamic,1671.0660
moe_dispatch_combine,vllm_ascend_FusedMC2,64,6144,2048,256,8,4,64,bf16,3217.2339
