framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,1,128,1,float16,float16,511,0.061700000000000005
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,4,128,1,float16,float16,511,0.062009999999999996
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,8,128,1,float16,float16,511,0.061630000000000004
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,0,128,1,float16,float16,511,0.062229999999999994
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,1,128,1,float16,float16,511,0.0631
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,4,128,1,float16,float16,511,0.061869999999999994
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,8,128,1,float16,float16,511,0.06291
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,0,128,1,float16,float16,511,0.06339
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,1,128,1,float16,float16,511,0.062329999999999997
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,4,128,1,float16,float16,511,0.05974
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,8,128,1,float16,float16,511,0.0591
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,0,128,1,float16,float16,511,0.05859
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,1,128,1,float16,float16,511,0.05983
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,4,128,1,float16,float16,511,0.06606000000000001
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,8,128,1,float16,float16,511,0.05824
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,1023,0.06344
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,1,128,1,float16,float16,1023,0.05898
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,4,128,1,float16,float16,1023,0.062310000000000004
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,1023,0.0628
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,0,128,1,float16,float16,1023,0.06308
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,1,128,1,float16,float16,1023,0.06458
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,4,128,1,float16,float16,1023,0.062450000000000006
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,8,128,1,float16,float16,1023,0.06091
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,0,128,1,float16,float16,1023,0.06286
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,1,128,1,float16,float16,1023,0.06853000000000001
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,4,128,1,float16,float16,1023,0.06305
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,8,128,1,float16,float16,1023,0.06099
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,0,128,1,float16,float16,1023,0.06036
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,1,128,1,float16,float16,1023,0.05963
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,4,128,1,float16,float16,1023,0.05976
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,8,128,1,float16,float16,1023,0.05998
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,0,128,1,float16,float16,1023,0.06418
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,1,128,1,float16,float16,1023,0.059789999999999996
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,4,128,1,float16,float16,1023,0.05795
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,8,128,1,float16,float16,1023,0.05986
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,2047,0.05999
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,1,128,1,float16,float16,2047,0.049280000000000004
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,4,128,1,float16,float16,2047,0.04869
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,2047,0.04821
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,0,128,1,float16,float16,2047,0.059340000000000004
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,1,128,1,float16,float16,2047,0.048799999999999996
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,4,128,1,float16,float16,2047,0.0494
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,8,128,1,float16,float16,2047,0.0505
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,0,128,1,float16,float16,2047,0.06625
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,1,128,1,float16,float16,2047,0.05058
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,4,128,1,float16,float16,2047,0.05067
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,8,128,1,float16,float16,2047,0.04974
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,0,128,1,float16,float16,2047,0.07094
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,1,128,1,float16,float16,2047,0.03407
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,4,128,1,float16,float16,2047,0.0448
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,8,128,1,float16,float16,2047,0.04784
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,0,128,1,float16,float16,2047,0.07726999999999999
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,1,128,1,float16,float16,2047,0.03505
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,4,128,1,float16,float16,2047,0.046939999999999996
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,8,128,1,float16,float16,2047,0.047490000000000004
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,4095,0.05717
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,1,128,1,float16,float16,4095,0.034409999999999996
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,4,128,1,float16,float16,4095,0.045939999999999995
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,4095,0.05706
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,0,128,1,float16,float16,4095,0.06570000000000001
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,1,128,1,float16,float16,4095,0.03698
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,4,128,1,float16,float16,4095,0.04548
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,8,128,1,float16,float16,4095,0.06426000000000001
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,0,128,1,float16,float16,4095,0.08031
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,1,128,1,float16,float16,4095,0.03753
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,4,128,1,float16,float16,4095,0.046119999999999994
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,8,128,1,float16,float16,4095,0.06565
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,0,128,1,float16,float16,4095,0.08533
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,1,128,1,float16,float16,4095,0.03929
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,4,128,1,float16,float16,4095,0.046700000000000005
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,8,128,1,float16,float16,4095,0.06514
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,0,128,1,float16,float16,4095,0.10164
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,1,128,1,float16,float16,4095,0.04162
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,4,128,1,float16,float16,4095,0.06773
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,8,128,1,float16,float16,4095,0.06562
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,8191,0.06347
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,1,128,1,float16,float16,8191,0.059789999999999996
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,4,128,1,float16,float16,8191,0.0645
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,8191,0.06333
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,0,128,1,float16,float16,8191,0.08016
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,1,128,1,float16,float16,8191,0.06068
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,4,128,1,float16,float16,8191,0.06436
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,8,128,1,float16,float16,8191,0.0746
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,0,128,1,float16,float16,8191,0.10583
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,1,128,1,float16,float16,8191,0.0599
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,4,128,1,float16,float16,8191,0.06628
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,8,128,1,float16,float16,8191,0.07522
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,0,128,1,float16,float16,8191,0.11568
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,1,128,1,float16,float16,8191,0.0573
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,4,128,1,float16,float16,8191,0.06664
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,8,128,1,float16,float16,8191,0.07567
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,0,128,1,float16,float16,8191,0.25228
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,1,128,1,float16,float16,8191,0.060219999999999996
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,4,128,1,float16,float16,8191,0.06826
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,8,128,1,float16,float16,8191,0.07634
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,16383,0.07873999999999999
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,1,128,1,float16,float16,16383,0.061149999999999996
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,4,128,1,float16,float16,16383,0.07522
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,16383,0.07826000000000001
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,0,128,1,float16,float16,16383,0.10477
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,1,128,1,float16,float16,16383,0.05857
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,4,128,1,float16,float16,16383,0.07504999999999999
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,8,128,1,float16,float16,16383,0.09376000000000001
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,0,128,1,float16,float16,16383,0.24891
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,1,128,1,float16,float16,16383,0.06255
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,4,128,1,float16,float16,16383,0.07694
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,8,128,1,float16,float16,16383,0.095
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,0,128,1,float16,float16,16383,0.32005
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,1,128,1,float16,float16,16383,0.06038
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,4,128,1,float16,float16,16383,0.08077
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,8,128,1,float16,float16,16383,0.09561
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,0,128,1,float16,float16,16383,0.48675999999999997
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,1,128,1,float16,float16,16383,0.06598000000000001
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,4,128,1,float16,float16,16383,0.07825
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,64,8,128,1,float16,float16,16383,0.09736
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,8,0,128,1,float16,float16,127,0.06001
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,8,1,128,1,float16,float16,127,0.057890000000000004
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,8,4,128,1,float16,float16,127,0.060270000000000004
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,8,0,128,1,float16,float16,127,0.05945
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,16,0,128,1,float16,float16,127,0.0606
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,16,1,128,1,float16,float16,127,0.0621
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,16,4,128,1,float16,float16,127,0.06062
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,16,8,128,1,float16,float16,127,0.037469999999999996
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,32,0,128,1,float16,float16,127,0.048049999999999995
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,32,1,128,1,float16,float16,127,0.03351
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,32,4,128,1,float16,float16,127,0.040049999999999995
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,32,8,128,1,float16,float16,127,0.037340000000000005
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,40,0,128,1,float16,float16,127,0.04671
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,40,1,128,1,float16,float16,127,0.03304
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,2,1,40,4,128,1,float16,float16,127,0.03479
