framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,16,4,128,1,float16,float16,0,0.07795
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,16,8,128,1,float16,float16,0,0.07565000000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,32,0,128,1,float16,float16,0,0.09823
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,32,1,128,1,float16,float16,0,0.10459
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,32,4,128,1,float16,float16,0,0.10618999999999999
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,32,8,128,1,float16,float16,0,0.10403
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,40,0,128,1,float16,float16,0,0.10773
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,40,1,128,1,float16,float16,0,0.1171
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,40,4,128,1,float16,float16,0,0.12129000000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,40,8,128,1,float16,float16,0,0.11806
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,64,0,128,1,float16,float16,0,0.13596
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,64,1,128,1,float16,float16,0,0.14978999999999998
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,64,4,128,1,float16,float16,0,0.15381999999999998
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,512,64,8,128,1,float16,float16,0,0.15091
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,8,0,128,1,float16,float16,0,0.12297
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,8,1,128,1,float16,float16,0,0.07934999999999999
