framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,8192,16384,0.20738
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,256,0.03862
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,512,0.03868
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,1024,0.03816
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,2048,0.03796
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,4096,0.07284
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,7168,0.14725
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,8192,0.1494
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,12288,0.2354
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,12288,16384,0.29174
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,256,0.03784
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,512,0.03764
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,1024,0.03771
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,2048,0.05114
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,4096,0.09732
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,7168,0.19675
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,8192,0.19462
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,12288,0.32486
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,16384,16384,0.405
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,256,0.03851
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,512,0.03824
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,1024,0.03967
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,2048,0.03746
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,4096,0.0374
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,7168,0.03752
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,8192,0.03804
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,12288,0.03745
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,256,16384,0.03755
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,256,0.03742
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,512,0.03942
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,1024,0.0382
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,2048,0.03771
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,4096,0.03774
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,7168,0.04349
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,8192,0.03823
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,12288,0.03905
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,512,16384,0.04187
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,256,0.03847
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,512,0.03795
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,1024,0.04013
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,2048,0.03829
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,4096,0.03987
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,7168,0.03848
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,8192,0.04273
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,12288,0.03767
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,2,1024,16384,0.04812
