nccl_dtype,num_gpus,message_size,kernel_source,op_name,latency
half,8,268435456,HCCL,all_gather,8.68243
half,16,268435456,HCCL,all_gather,19.1216
half,2,536870912,HCCL,all_gather,4.33549
half,4,536870912,HCCL,all_gather,7.56523
half,8,536870912,HCCL,all_gather,17.2391
half,16,536870912,HCCL,all_gather,38.2011
half,32,128,HCCL,all_gather,0.014
half,32,256,HCCL,all_gather,0.01438
half,32,512,HCCL,all_gather,0.01461
half,32,1024,HCCL,all_gather,0.0146
half,32,2048,HCCL,all_gather,0.01418
half,32,4096,HCCL,all_gather,0.01501
half,32,8192,HCCL,all_gather,0.0153
half,32,16384,HCCL,all_gather,0.01563
half,32,32768,HCCL,all_gather,0.01642
half,32,65536,HCCL,all_gather,0.10831
half,32,131072,HCCL,all_gather,0.1266
half,32,262144,HCCL,all_gather,0.14786
half,32,524288,HCCL,all_gather,0.1898
half,32,1048576,HCCL,all_gather,0.39014
half,32,2097152,HCCL,all_gather,0.61751
half,32,4194304,HCCL,all_gather,0.91938
half,32,8388608,HCCL,all_gather,1.6105
half,32,16777216,HCCL,all_gather,2.94509
half,32,33554432,HCCL,all_gather,5.67849
half,32,67108864,HCCL,all_gather,11.0787
half,32,134217728,HCCL,all_gather,21.9667
half,32,268435456,HCCL,all_gather,43.5058
half,32,536870912,HCCL,all_gather,86.7426
half,2,128,HCCL,all_reduce,0.00411
half,4,128,HCCL,all_reduce,0.00515
half,8,128,HCCL,all_reduce,0.00497
half,16,128,HCCL,all_reduce,0.0146
half,2,256,HCCL,all_reduce,0.00398
half,4,256,HCCL,all_reduce,0.0042
half,8,256,HCCL,all_reduce,0.00507
half,16,256,HCCL,all_reduce,0.01466
half,8,272,HCCL,all_reduce,0.0052
half,2,512,HCCL,all_reduce,0.00307
half,4,512,HCCL,all_reduce,0.00422
half,8,512,HCCL,all_reduce,0.00506
half,16,512,HCCL,all_reduce,0.01459
half,8,528,HCCL,all_reduce,0.00509
half,2,1024,HCCL,all_reduce,0.00402
half,4,1024,HCCL,all_reduce,0.0053
half,8,1024,HCCL,all_reduce,0.00514
half,16,1024,HCCL,all_reduce,0.01453
half,2,1152,HCCL,all_reduce,0.00418
half,4,1152,HCCL,all_reduce,0.00442
half,8,1152,HCCL,all_reduce,0.0052
half,2,2048,HCCL,all_reduce,0.00309
half,4,2048,HCCL,all_reduce,0.00434
half,8,2048,HCCL,all_reduce,0.0052
half,16,2048,HCCL,all_reduce,0.0147
half,2,3072,HCCL,all_reduce,0.0032
half,4,3072,HCCL,all_reduce,0.00436
half,8,3072,HCCL,all_reduce,0.00516
half,2,4096,HCCL,all_reduce,0.00306
half,4,4096,HCCL,all_reduce,0.00433
half,8,4096,HCCL,all_reduce,0.00516
half,16,4096,HCCL,all_reduce,0.01437
half,2,7168,HCCL,all_reduce,0.00317
half,4,7168,HCCL,all_reduce,0.00443
half,8,7168,HCCL,all_reduce,0.00517
half,2,8192,HCCL,all_reduce,0.00323
half,4,8192,HCCL,all_reduce,0.00446
half,8,8192,HCCL,all_reduce,0.00513
half,16,8192,HCCL,all_reduce,0.01479
half,2,14336,HCCL,all_reduce,0.00328
half,4,14336,HCCL,all_reduce,0.00456
half,8,14336,HCCL,all_reduce,0.00534
half,2,16384,HCCL,all_reduce,0.00338
half,4,16384,HCCL,all_reduce,0.00458
half,8,16384,HCCL,all_reduce,0.00547
half,16,16384,HCCL,all_reduce,0.01518
half,16,19008,HCCL,all_reduce,0.01531
half,8,32320,HCCL,all_reduce,0.00619
half,2,32768,HCCL,all_reduce,0.00366
half,4,32768,HCCL,all_reduce,0.00487
half,8,32768,HCCL,all_reduce,0.00632
half,16,32768,HCCL,all_reduce,0.01612
half,2,64640,HCCL,all_reduce,0.00469
half,4,64640,HCCL,all_reduce,0.00596
half,8,64640,HCCL,all_reduce,0.00829
half,2,65536,HCCL,all_reduce,0.00471
half,4,65536,HCCL,all_reduce,0.00596
half,8,65536,HCCL,all_reduce,0.00837
half,16,65536,HCCL,all_reduce,0.01894
half,8,74880,HCCL,all_reduce,0.00928
half,16,75968,HCCL,all_reduce,0.02038
half,2,129280,HCCL,all_reduce,0.00798
half,4,129280,HCCL,all_reduce,0.00974
half,8,129280,HCCL,all_reduce,0.01003
half,2,131072,HCCL,all_reduce,0.00811
half,4,131072,HCCL,all_reduce,0.00818
half,8,131072,HCCL,all_reduce,0.00873
half,16,131072,HCCL,all_reduce,0.01941
half,8,149760,HCCL,all_reduce,0.00956
half,16,163840,HCCL,all_reduce,0.02014
half,8,223488,HCCL,all_reduce,0.01046
half,2,262144,HCCL,all_reduce,0.01033
half,4,262144,HCCL,all_reduce,0.01084
half,8,262144,HCCL,all_reduce,0.01059
half,16,262144,HCCL,all_reduce,0.02038
half,16,284880,HCCL,all_reduce,0.02379
half,2,294912,HCCL,all_reduce,0.01074
half,4,294912,HCCL,all_reduce,0.01194
half,8,294912,HCCL,all_reduce,0.01159
half,16,303872,HCCL,all_reduce,0.02204
half,16,327680,HCCL,all_reduce,0.02061
half,8,465920,HCCL,all_reduce,0.01424
half,2,524288,HCCL,all_reduce,0.01442
half,4,524288,HCCL,all_reduce,0.01529
half,8,524288,HCCL,all_reduce,0.0151
half,16,524288,HCCL,all_reduce,0.02339
half,16,588752,HCCL,all_reduce,0.02432
half,8,595968,HCCL,all_reduce,0.01619
half,16,607744,HCCL,all_reduce,0.02629
