OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Op Type,Batch,Seq Len,Num Heads,Num KV Heads,Head Size
dynamic,AI_CORE,"256,16,128;256,8,128;256,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,16,128",DT_BF16,ND,61.03,attention_context,1,256,16,8,128
dynamic,AI_CORE,"256,32,128;256,32,128;256,32,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,32,128",DT_BF16,ND,62.72,attention_context,1,256,32,0,128
dynamic,AI_CORE,"256,32,128;256,1,128;256,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,32,128",DT_BF16,ND,70.18,attention_context,1,256,32,1,128
dynamic,AI_CORE,"256,32,128;256,4,128;256,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,32,128",DT_BF16,ND,72.73,attention_context,1,256,32,4,128
dynamic,AI_CORE,"256,32,128;256,8,128;256,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,32,128",DT_BF16,ND,71.05,attention_context,1,256,32,8,128
dynamic,AI_CORE,"256,40,128;256,40,128;256,40,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,40,128",DT_BF16,ND,70.98,attention_context,1,256,40,0,128
dynamic,AI_CORE,"256,40,128;256,1,128;256,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,40,128",DT_BF16,ND,73.70,attention_context,1,256,40,1,128
dynamic,AI_CORE,"256,40,128;256,4,128;256,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,40,128",DT_BF16,ND,75.84,attention_context,1,256,40,4,128
dynamic,AI_CORE,"256,40,128;256,8,128;256,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,40,128",DT_BF16,ND,76.31,attention_context,1,256,40,8,128
dynamic,AI_CORE,"256,64,128;256,64,128;256,64,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,64,128",DT_BF16,ND,80.86,attention_context,1,256,64,0,128
dynamic,AI_CORE,"256,64,128;256,1,128;256,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,64,128",DT_BF16,ND,85.59,attention_context,1,256,64,1,128
dynamic,AI_CORE,"256,64,128;256,4,128;256,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,64,128",DT_BF16,ND,87.63,attention_context,1,256,64,4,128
dynamic,AI_CORE,"256,64,128;256,8,128;256,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"256,64,128",DT_BF16,ND,86.98,attention_context,1,256,64,8,128
dynamic,AI_CORE,"512,8,128;512,8,128;512,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,8,128",DT_BF16,ND,65.90,attention_context,1,512,8,0,128
dynamic,AI_CORE,"512,8,128;512,1,128;512,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,8,128",DT_BF16,ND,59.79,attention_context,1,512,8,1,128
dynamic,AI_CORE,"512,8,128;512,4,128;512,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,8,128",DT_BF16,ND,63.23,attention_context,1,512,8,4,128
dynamic,AI_CORE,"512,8,128;512,8,128;512,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,8,128",DT_BF16,ND,70.36,attention_context,1,512,8,8,128
dynamic,AI_CORE,"512,16,128;512,16,128;512,16,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,16,128",DT_BF16,ND,83.46,attention_context,1,512,16,0,128
dynamic,AI_CORE,"512,16,128;512,1,128;512,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,16,128",DT_BF16,ND,75.43,attention_context,1,512,16,1,128
dynamic,AI_CORE,"512,16,128;512,4,128;512,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,16,128",DT_BF16,ND,77.95,attention_context,1,512,16,4,128
dynamic,AI_CORE,"512,16,128;512,8,128;512,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,16,128",DT_BF16,ND,75.65,attention_context,1,512,16,8,128
dynamic,AI_CORE,"512,32,128;512,32,128;512,32,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,32,128",DT_BF16,ND,98.23,attention_context,1,512,32,0,128
dynamic,AI_CORE,"512,32,128;512,1,128;512,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,32,128",DT_BF16,ND,104.59,attention_context,1,512,32,1,128
dynamic,AI_CORE,"512,32,128;512,4,128;512,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,32,128",DT_BF16,ND,106.19,attention_context,1,512,32,4,128
dynamic,AI_CORE,"512,32,128;512,8,128;512,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,32,128",DT_BF16,ND,104.03,attention_context,1,512,32,8,128
dynamic,AI_CORE,"512,40,128;512,40,128;512,40,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,40,128",DT_BF16,ND,107.73,attention_context,1,512,40,0,128
dynamic,AI_CORE,"512,40,128;512,1,128;512,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,40,128",DT_BF16,ND,117.10,attention_context,1,512,40,1,128
dynamic,AI_CORE,"512,40,128;512,4,128;512,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,40,128",DT_BF16,ND,121.29,attention_context,1,512,40,4,128
dynamic,AI_CORE,"512,40,128;512,8,128;512,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,40,128",DT_BF16,ND,118.06,attention_context,1,512,40,8,128
dynamic,AI_CORE,"512,64,128;512,64,128;512,64,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,64,128",DT_BF16,ND,135.96,attention_context,1,512,64,0,128
