framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,7168,2048,8,256,1,8,power_law_1.2,0.91272
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,7168,2048,8,256,1,8,power_law_1.2,1.28621
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,7168,2048,8,256,1,8,power_law_1.2,1.84067
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,7168,2048,8,256,1,8,power_law_1.2,2.05144
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,7168,2048,8,256,1,8,power_law_1.2,2.07636
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,7168,2048,8,256,1,8,power_law_1.2,2.12094
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,7168,2048,8,256,1,8,power_law_1.2,2.33492
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,7168,2048,8,256,1,8,power_law_1.2,2.7071300000000003
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,7168,2048,8,256,1,8,power_law_1.2,3.5108
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,6144,9216,2,32,1,4,power_law_1.2,0.05552
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,6144,9216,2,32,1,4,power_law_1.2,0.32268
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,6144,9216,2,32,1,4,power_law_1.2,0.32988
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,6144,9216,2,32,1,4,power_law_1.2,0.88351
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,6144,9216,2,32,1,4,power_law_1.2,1.74525
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,6144,9216,2,32,1,4,power_law_1.2,2.36382
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,6144,9216,2,32,1,4,power_law_1.2,2.40065
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,6144,9216,2,32,1,4,power_law_1.2,2.4041799999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,6144,9216,2,32,1,4,power_law_1.2,2.48874
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,6144,9216,2,32,1,4,power_law_1.2,2.48222
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,6144,9216,2,32,1,4,power_law_1.2,2.48657
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,6144,9216,2,32,1,4,power_law_1.2,3.70342
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,6144,9216,2,32,1,4,power_law_1.2,6.8052600000000005
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,4096,14336,2,8,1,1,power_law_1.2,0.63371
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,4096,14336,2,8,1,1,power_law_1.2,1.14061
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,4096,14336,2,8,1,1,power_law_1.2,1.42308
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,4096,14336,2,8,1,1,power_law_1.2,1.9818399999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,4096,14336,2,8,1,1,power_law_1.2,2.34329
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,4096,14336,2,8,1,1,power_law_1.2,2.34133
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,4096,14336,2,8,1,1,power_law_1.2,2.37657
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,4096,14336,2,8,1,1,power_law_1.2,2.38664
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,4096,14336,2,8,1,1,power_law_1.2,2.42141
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,4096,14336,2,8,1,1,power_law_1.2,3.3383000000000003
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,4096,14336,2,8,1,1,power_law_1.2,5.0437899999999996
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,4096,14336,2,8,1,1,power_law_1.2,8.46618
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,4096,14336,2,8,1,1,power_law_1.2,12.14727
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,3584,2560,8,64,1,1,power_law_1.2,0.35896
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,3584,2560,8,64,1,1,power_law_1.2,0.6428200000000001
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,3584,2560,8,64,1,1,power_law_1.2,1.1207
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,3584,2560,8,64,1,1,power_law_1.2,1.77396
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,3584,2560,8,64,1,1,power_law_1.2,2.4413400000000003
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,3584,2560,8,64,1,1,power_law_1.2,2.6440799999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,3584,2560,8,64,1,1,power_law_1.2,2.70299
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,3584,2560,8,64,1,1,power_law_1.2,2.70472
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,3584,2560,8,64,1,1,power_law_1.2,2.73538
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,3584,2560,8,64,1,1,power_law_1.2,2.7669099999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,3584,2560,8,64,1,1,power_law_1.2,3.55475
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,3584,2560,8,64,1,1,power_law_1.2,5.01613
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,3584,2560,8,64,1,1,power_law_1.2,8.43182
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,2048,1024,8,128,1,4,power_law_1.2,0.07382
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,2048,1024,8,128,1,4,power_law_1.2,0.05422
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,2048,1024,8,128,1,4,power_law_1.2,0.1007
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,2048,1024,8,128,1,4,power_law_1.2,0.13284
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,2048,1024,8,128,1,4,power_law_1.2,0.20996
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,2048,1024,8,128,1,4,power_law_1.2,0.27332
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,2048,1024,8,128,1,4,power_law_1.2,0.30693
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,2048,1024,8,128,1,4,power_law_1.2,0.32229
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,2048,1024,8,128,1,4,power_law_1.2,0.32376
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,2048,1024,8,128,1,4,power_law_1.2,0.33713
