OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Op Type,Batch,Seq Len,Num Heads,Num KV Heads,Head Size
dynamic,AI_CORE,"1,16,128;2,128,1024;2,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,61.39,attention_generation,1,256,16,8,128
dynamic,AI_CORE,"1,32,128;2,128,4096;2,128,4096",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,61.94,attention_generation,1,256,32,0,128
dynamic,AI_CORE,"1,32,128;2,128,128;2,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,61.51,attention_generation,1,256,32,1,128
dynamic,AI_CORE,"1,32,128;2,128,512;2,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,61.69,attention_generation,1,256,32,4,128
dynamic,AI_CORE,"1,32,128;2,128,1024;2,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,62.24,attention_generation,1,256,32,8,128
dynamic,AI_CORE,"1,40,128;2,128,5120;2,128,5120",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,61.79,attention_generation,1,256,40,0,128
dynamic,AI_CORE,"1,40,128;2,128,128;2,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,61.91,attention_generation,1,256,40,1,128
dynamic,AI_CORE,"1,40,128;2,128,512;2,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,62.63,attention_generation,1,256,40,4,128
dynamic,AI_CORE,"1,40,128;2,128,1024;2,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,60.82,attention_generation,1,256,40,8,128
dynamic,AI_CORE,"1,64,128;2,128,8192;2,128,8192",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,62.00,attention_generation,1,256,64,0,128
dynamic,AI_CORE,"1,64,128;2,128,128;2,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,61.75,attention_generation,1,256,64,1,128
dynamic,AI_CORE,"1,64,128;2,128,512;2,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,61.50,attention_generation,1,256,64,4,128
dynamic,AI_CORE,"1,64,128;2,128,1024;2,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,61.54,attention_generation,1,256,64,8,128
dynamic,AI_CORE,"1,8,128;4,128,1024;4,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,61.98,attention_generation,1,512,8,0,128
dynamic,AI_CORE,"1,8,128;4,128,128;4,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,61.71,attention_generation,1,512,8,1,128
