framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,gemm_type,mla_dtype,kv_cache_dtype,architecture,step,latency
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,255,1.369697
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,511,1.303879
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1023,1.323564
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,2047,1.318238
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,4095,1.304905
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,8191,1.257910
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,16383,1.280338
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,32767,1.234354
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,65535,1.238252
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1,1.175301
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,3,1.187918
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,7,1.196490
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,15,1.177850
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,31,1.179618
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,63,1.207060
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,127,1.189564
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,255,1.209892
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,511,1.339333
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1023,1.281669
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,2047,1.317378
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,4095,1.201397
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,8191,1.199451
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,16383,1.200856
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,32767,1.190827
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,65535,1.194715
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1,1.197216
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,3,1.199686
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,7,1.222392
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,15,1.158059
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,31,1.181046
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,63,1.185401
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,127,1.335476
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,255,1.310078
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,511,1.318535
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1023,1.292221
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,2047,1.394396
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,4095,1.360764
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,8191,1.374503
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,16383,1.371199
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,32767,1.361037
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,65535,1.274728
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1,1.315675
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,3,1.220627
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,7,1.209282
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,15,1.171165
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,31,1.211398
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,63,1.084642
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,127,1.126899
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,255,1.138506
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,511,1.328464
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1023,1.293045
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,2047,1.293306
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,4095,1.450132
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,8191,1.404480
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,16383,1.404632
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,32767,1.312868
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,65535,1.273602
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1,1.163018
