framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,65536,0.00596,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,65536,0.00837,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,65536,0.01894,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,74880,0.00928,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,75968,0.02038,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,129280,0.00798,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,129280,0.00974,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,129280,0.01003,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,131072,0.00811,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,131072,0.00818,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,131072,0.00873,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,131072,0.01941,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,149760,0.00956,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,163840,0.02014,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,223488,0.01046,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,262144,0.01033,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,262144,0.01084,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,262144,0.01059,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,262144,0.02038,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,284880,0.02379,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,294912,0.01074,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,294912,0.01194,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,294912,0.01159,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,303872,0.02204,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,327680,0.02061,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,465920,0.01424,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,524288,0.01442,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,524288,0.01529,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,524288,0.0151,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,524288,0.02339,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,588752,0.02432,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,595968,0.01619,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,607744,0.02629,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,786432,0.01954,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,786432,0.02088,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,786432,0.01952,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,946176,0.02133,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,1048576,0.02416,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,1048576,0.02536,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,1048576,0.02304,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,1048576,0.02974,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,1320960,0.0339,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,1863680,0.0382,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,1863680,0.04046,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,1863680,0.0355,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,2097152,0.04261,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,2097152,0.04452,AUTO
