op_type,input_shapes,runs_seen,total_count,min_us,avg_us,median_us,max_us
GroupedMatmul,"3524,2048;8,2048,6144;;8,6144;;;;8;3524",1,1,217.26,217.26,217.26,217.26
GroupedMatmul,"3255,2048;8,2048,6144;;8,6144;;;;8;3255",1,1,213.36,213.36,213.36,213.36
GroupedMatmul,"3640,2048;8,2048,6144;;8,6144;;;;8;3640",1,1,212.94,212.94,212.94,212.94
GroupedMatmul,"3552,2048;8,2048,6144;;8,6144;;;;8;3552",1,1,211.94,211.94,211.94,211.94
GroupedMatmul,"3247,2048;8,2048,6144;;8,6144;;;;8;3247",1,1,209.62,209.62,209.62,209.62
GroupedMatmul,"3607,2048;8,2048,6144;;8,6144;;;;8;3607",1,1,209.23,209.23,209.23,209.23
GroupedMatmul,"3586,2048;8,2048,6144;;8,6144;;;;8;3586",1,1,208.88,208.88,208.88,208.88
GroupedMatmul,"3553,2048;8,2048,6144;;8,6144;;;;8;3553",1,1,206.36,206.36,206.36,206.36
GroupedMatmul,"3148,2048;8,2048,6144;;8,6144;;;;8;3148",1,1,203.95,203.95,203.95,203.95
GroupedMatmul,"3126,2048;8,2048,6144;;8,6144;;;;8;3126",1,1,197.44,197.44,197.44,197.44
GroupedMatmul,"3192,2048;8,2048,6144;;8,6144;;;;8;3192",1,1,196.74,196.74,196.74,196.74
GroupedMatmul,"2621,2048;8,2048,6144;;8,6144;;;;8;2621",1,1,196.66,196.66,196.66,196.66
GroupedMatmul,"2508,2048;8,2048,6144;;8,6144;;;;8;2508",1,1,189.92,189.92,189.92,189.92
GroupedMatmul,"2312,2048;8,2048,6144;;8,6144;;;;8;2312",1,1,187.32,187.32,187.32,187.32
GroupedMatmul,"2124,2048;8,2048,6144;;8,6144;;;;8;2124",1,1,184.72,184.72,184.72,184.72
GroupedMatmul,"2412,2048;8,2048,6144;;8,6144;;;;8;2412",1,1,183.54,183.54,183.54,183.54
GroupedMatmul,"2299,2048;8,2048,6144;;8,6144;;;;8;2299",1,1,182.34,182.34,182.34,182.34
GroupedMatmul,"2409,2048;8,2048,6144;;8,6144;;;;8;2409",1,1,182.06,182.06,182.06,182.06
GroupedMatmul,"2238,2048;8,2048,6144;;8,6144;;;;8;2238",1,1,179.54,179.54,179.54,179.54
GroupedMatmul,"2379,2048;8,2048,6144;;8,6144;;;;8;2379",1,1,176.96,176.96,176.96,176.96
GroupedMatmul,"2468,2048;8,2048,6144;;8,6144;;;;8;2468",1,1,175.74,175.74,175.74,175.74
GroupedMatmul,"2144,2048;8,2048,6144;;8,6144;;;;8;2144",1,1,175.12,175.12,175.12,175.12
GroupedMatmul,"2272,2048;8,2048,6144;;8,6144;;;;8;2272",1,1,173.88,173.88,173.88,173.88
GroupedMatmul,"2461,2048;8,2048,6144;;8,6144;;;;8;2461",1,1,173.42,173.42,173.42,173.42
GroupedMatmul,"2020,2048;8,2048,6144;;8,6144;;;;8;2020",1,1,173.22,173.22,173.22,173.22
GroupedMatmul,"2160,2048;8,2048,6144;;8,6144;;;;8;2160",1,1,172.92,172.92,172.92,172.92
GroupedMatmul,"2136,2048;8,2048,6144;;8,6144;;;;8;2136",1,1,172.72,172.72,172.72,172.72
GroupedMatmul,"1910,2048;8,2048,6144;;8,6144;;;;8;1910",1,1,171.06,171.06,171.06,171.06
GroupedMatmul,"2565,2048;8,2048,6144;;8,6144;;;;8;2565",1,1,170.96,170.96,170.96,170.96
GroupedMatmul,"1860,2048;8,2048,6144;;8,6144;;;;8;1860",1,1,170.86,170.86,170.86,170.86
GroupedMatmul,"1977,2048;8,2048,6144;;8,6144;;;;8;1977",1,1,170.82,170.82,170.82,170.82
GroupedMatmul,"2302,2048;8,2048,6144;;8,6144;;;;8;2302",1,1,170.72,170.72,170.72,170.72
GroupedMatmul,"2256,2048;8,2048,6144;;8,6144;;;;8;2256",1,1,170.14,170.14,170.14,170.14
GroupedMatmul,"2200,2048;8,2048,6144;;8,6144;;;;8;2200",1,1,169.86,169.86,169.86,169.86
GroupedMatmul,"1764,2048;8,2048,6144;;8,6144;;;;8;1764",1,1,169.48,169.48,169.48,169.48
GroupedMatmul,"2125,2048;8,2048,6144;;8,6144;;;;8;2125",1,1,167.58,167.58,167.58,167.58
GroupedMatmul,"2214,2048;8,2048,6144;;8,6144;;;;8;2214",1,1,167.50,167.50,167.50,167.50
GroupedMatmul,"1868,2048;8,2048,6144;;8,6144;;;;8;1868",1,1,167.12,167.12,167.12,167.12
GroupedMatmul,"2145,2048;8,2048,6144;;8,6144;;;;8;2145",1,1,167.08,167.08,167.08,167.08
GroupedMatmul,"2153,2048;8,2048,6144;;8,6144;;;;8;2153",1,1,166.86,166.86,166.86,166.86
GroupedMatmul,"1888,2048;8,2048,6144;;8,6144;;;;8;1888",1,1,166.81,166.81,166.81,166.81
GroupedMatmul,"2123,2048;8,2048,6144;;8,6144;;;;8;2123",1,1,166.58,166.58,166.58,166.58
GroupedMatmul,"2006,2048;8,2048,6144;;8,6144;;;;8;2006",1,1,165.66,165.66,165.66,165.66
GroupedMatmul,"2117,2048;8,2048,6144;;8,6144;;;;8;2117",1,1,165.10,165.10,165.10,165.10
GroupedMatmul,"2161,2048;8,2048,6144;;8,6144;;;;8;2161",1,1,164.66,164.66,164.66,164.66
GroupedMatmul,"2215,2048;8,2048,6144;;8,6144;;;;8;2215",1,1,164.44,164.44,164.44,164.44
GroupedMatmul,"1858,2048;8,2048,6144;;8,6144;;;;8;1858",1,1,164.38,164.38,164.38,164.38
GroupedMatmul,"1866,2048;8,2048,6144;;8,6144;;;;8;1866",1,1,163.72,163.72,163.72,163.72
GroupedMatmul,"2182,2048;8,2048,6144;;8,6144;;;;8;2182",1,1,163.66,163.66,163.66,163.66
GroupedMatmul,"2022,2048;8,2048,6144;;8,6144;;;;8;2022",1,1,163.12,163.12,163.12,163.12
GroupedMatmul,"2016,2048;8,2048,6144;;8,6144;;;;8;2016",1,1,162.86,162.86,162.86,162.86
GroupedMatmul,"1806,2048;8,2048,6144;;8,6144;;;;8;1806",1,1,162.46,162.46,162.46,162.46
GroupedMatmul,"2091,2048;8,2048,6144;;8,6144;;;;8;2091",1,1,162.44,162.44,162.44,162.44
GroupedMatmul,"2095,2048;8,2048,6144;;8,6144;;;;8;2095",1,1,162.40,162.40,162.40,162.40
GroupedMatmul,"2097,2048;8,2048,6144;;8,6144;;;;8;2097",1,1,162.04,162.04,162.04,162.04
GroupedMatmul,"2084,2048;8,2048,6144;;8,6144;;;;8;2084",1,1,161.44,161.44,161.44,161.44
GroupedMatmul,"2142,2048;8,2048,6144;;8,6144;;;;8;2142",1,1,160.94,160.94,160.94,160.94
GroupedMatmul,"1714,2048;8,2048,6144;;8,6144;;;;8;1714",1,1,160.70,160.70,160.70,160.70
GroupedMatmul,"1730,2048;8,2048,6144;;8,6144;;;;8;1730",1,1,157.96,157.96,157.96,157.96
GroupedMatmul,"1785,2048;8,2048,6144;;8,6144;;;;8;1785",1,1,157.90,157.90,157.90,157.90
GroupedMatmul,"1905,2048;8,2048,6144;;8,6144;;;;8;1905",1,1,157.56,157.56,157.56,157.56
GroupedMatmul,"2074,2048;8,2048,6144;;8,6144;;;;8;2074",1,1,157.14,157.14,157.14,157.14
GroupedMatmul,"2069,2048;8,2048,6144;;8,6144;;;;8;2069",1,1,155.02,155.02,155.02,155.02
GroupedMatmul,"2230,2048;8,2048,6144;;8,6144;;;;8;2230",1,1,153.40,153.40,153.40,153.40
GroupedMatmul,"1712,2048;8,2048,6144;;8,6144;;;;8;1712",1,1,151.48,151.48,151.48,151.48
GroupedMatmul,"2174,2048;8,2048,6144;;8,6144;;;;8;2174",1,1,150.38,150.38,150.38,150.38
GroupedMatmul,"1584,2048;8,2048,6144;;8,6144;;;;8;1584",1,1,141.08,141.08,141.08,141.08
GroupedMatmul,"1876,2048;8,2048,6144;;8,6144;;;;8;1876",1,1,136.10,136.10,136.10,136.10
GroupedMatmul,"1904,2048;8,2048,6144;;8,6144;;;;8;1904",1,1,132.98,132.98,132.98,132.98
GroupedMatmul,"704,2048;8,2048,6144;;8,6144;;;;8;704",1,1,98.88,98.88,98.88,98.88
GroupedMatmul,"757,2048;8,2048,6144;;8,6144;;;;8;757",1,1,97.74,97.74,97.74,97.74
GroupedMatmulSwigluQuant,"6656,6144;8,128,384,16,32;8,4096;6656;8",5,456,42.92,120.35,123.95,188.08
GroupedMatmulSwigluQuant,"2201,6144;8,128,384,16,32;8,4096;2201;8",1,2,397.39,405.73,405.73,414.07
GroupedMatmulSwigluQuant,"2135,6144;8,128,384,16,32;8,4096;2135;8",2,2,363.11,393.26,393.26,423.41
GroupedMatmulSwigluQuant,"3440,6144;8,128,384,16,32;8,4096;3440;8",1,1,661.02,661.02,661.02,661.02
GroupedMatmulSwigluQuant,"3586,6144;8,128,384,16,32;8,4096;3586;8",1,1,573.95,573.95,573.95,573.95
GroupedMatmulSwigluQuant,"3255,6144;8,128,384,16,32;8,4096;3255;8",1,1,565.89,565.89,565.89,565.89
GroupedMatmulSwigluQuant,"3607,6144;8,128,384,16,32;8,4096;3607;8",1,1,552.19,552.19,552.19,552.19
GroupedMatmulSwigluQuant,"3640,6144;8,128,384,16,32;8,4096;3640;8",1,1,549.73,549.73,549.73,549.73
GroupedMatmulSwigluQuant,"3524,6144;8,128,384,16,32;8,4096;3524;8",1,1,536.21,536.21,536.21,536.21
GroupedMatmulSwigluQuant,"3192,6144;8,128,384,16,32;8,4096;3192;8",1,1,535.23,535.23,535.23,535.23
GroupedMatmulSwigluQuant,"3247,6144;8,128,384,16,32;8,4096;3247;8",1,1,531.51,531.51,531.51,531.51
GroupedMatmulSwigluQuant,"3552,6144;8,128,384,16,32;8,4096;3552;8",1,1,525.97,525.97,525.97,525.97
GroupedMatmulSwigluQuant,"3553,6144;8,128,384,16,32;8,4096;3553;8",1,1,522.95,522.95,522.95,522.95
GroupedMatmulSwigluQuant,"2565,6144;8,128,384,16,32;8,4096;2565;8",1,1,516.55,516.55,516.55,516.55
GroupedMatmulSwigluQuant,"2621,6144;8,128,384,16,32;8,4096;2621;8",1,1,512.29,512.29,512.29,512.29
GroupedMatmulSwigluQuant,"3126,6144;8,128,384,16,32;8,4096;3126;8",1,1,510.19,510.19,510.19,510.19
GroupedMatmulSwigluQuant,"2508,6144;8,128,384,16,32;8,4096;2508;8",1,1,484.75,484.75,484.75,484.75
GroupedMatmulSwigluQuant,"2238,6144;8,128,384,16,32;8,4096;2238;8",1,1,470.63,470.63,470.63,470.63
GroupedMatmulSwigluQuant,"2299,6144;8,128,384,16,32;8,4096;2299;8",1,1,468.67,468.67,468.67,468.67
GroupedMatmulSwigluQuant,"2409,6144;8,128,384,16,32;8,4096;2409;8",1,1,468.43,468.43,468.43,468.43
GroupedMatmulSwigluQuant,"2312,6144;8,128,384,16,32;8,4096;2312;8",1,1,464.61,464.61,464.61,464.61
GroupedMatmulSwigluQuant,"2379,6144;8,128,384,16,32;8,4096;2379;8",1,1,463.39,463.39,463.39,463.39
GroupedMatmulSwigluQuant,"3148,6144;8,128,384,16,32;8,4096;3148;8",1,1,462.25,462.25,462.25,462.25
GroupedMatmulSwigluQuant,"2215,6144;8,128,384,16,32;8,4096;2215;8",1,1,459.33,459.33,459.33,459.33
GroupedMatmulSwigluQuant,"2142,6144;8,128,384,16,32;8,4096;2142;8",1,1,456.53,456.53,456.53,456.53
GroupedMatmulSwigluQuant,"2256,6144;8,128,384,16,32;8,4096;2256;8",1,1,455.21,455.21,455.21,455.21
GroupedMatmulSwigluQuant,"2412,6144;8,128,384,16,32;8,4096;2412;8",1,1,452.29,452.29,452.29,452.29
GroupedMatmulSwigluQuant,"2144,6144;8,128,384,16,32;8,4096;2144;8",1,1,446.03,446.03,446.03,446.03
GroupedMatmulSwigluQuant,"2214,6144;8,128,384,16,32;8,4096;2214;8",1,1,445.11,445.11,445.11,445.11
GroupedMatmulSwigluQuant,"1977,6144;8,128,384,16,32;8,4096;1977;8",1,1,442.39,442.39,442.39,442.39
GroupedMatmulSwigluQuant,"2136,6144;8,128,384,16,32;8,4096;2136;8",1,1,440.61,440.61,440.61,440.61
GroupedMatmulSwigluQuant,"2468,6144;8,128,384,16,32;8,4096;2468;8",1,1,438.93,438.93,438.93,438.93
GroupedMatmulSwigluQuant,"2145,6144;8,128,384,16,32;8,4096;2145;8",1,1,436.63,436.63,436.63,436.63
GroupedMatmulSwigluQuant,"2160,6144;8,128,384,16,32;8,4096;2160;8",1,1,431.65,431.65,431.65,431.65
GroupedMatmulSwigluQuant,"2153,6144;8,128,384,16,32;8,4096;2153;8",1,1,428.35,428.35,428.35,428.35
GroupedMatmulSwigluQuant,"2302,6144;8,128,384,16,32;8,4096;2302;8",1,1,428.17,428.17,428.17,428.17
GroupedMatmulSwigluQuant,"2161,6144;8,128,384,16,32;8,4096;2161;8",1,1,427.25,427.25,427.25,427.25
GroupedMatmulSwigluQuant,"2200,6144;8,128,384,16,32;8,4096;2200;8",1,1,425.39,425.39,425.39,425.39
GroupedMatmulSwigluQuant,"2461,6144;8,128,384,16,32;8,4096;2461;8",1,1,422.41,422.41,422.41,422.41
GroupedMatmulSwigluQuant,"2125,6144;8,128,384,16,32;8,4096;2125;8",1,1,421.85,421.85,421.85,421.85
GroupedMatmulSwigluQuant,"1888,6144;8,128,384,16,32;8,4096;1888;8",1,1,416.89,416.89,416.89,416.89
GroupedMatmulSwigluQuant,"2174,6144;8,128,384,16,32;8,4096;2174;8",1,1,414.65,414.65,414.65,414.65
GroupedMatmulSwigluQuant,"2117,6144;8,128,384,16,32;8,4096;2117;8",1,1,414.39,414.39,414.39,414.39
GroupedMatmulSwigluQuant,"2016,6144;8,128,384,16,32;8,4096;2016;8",1,1,414.29,414.29,414.29,414.29
GroupedMatmulSwigluQuant,"2084,6144;8,128,384,16,32;8,4096;2084;8",1,1,413.71,413.71,413.71,413.71
GroupedMatmulSwigluQuant,"2123,6144;8,128,384,16,32;8,4096;2123;8",1,1,408.61,408.61,408.61,408.61
GroupedMatmulSwigluQuant,"1806,6144;8,128,384,16,32;8,4096;1806;8",1,1,405.33,405.33,405.33,405.33
GroupedMatmulSwigluQuant,"1905,6144;8,128,384,16,32;8,4096;1905;8",1,1,405.13,405.13,405.13,405.13
GroupedMatmulSwigluQuant,"1764,6144;8,128,384,16,32;8,4096;1764;8",1,1,404.85,404.85,404.85,404.85
GroupedMatmulSwigluQuant,"1860,6144;8,128,384,16,32;8,4096;1860;8",1,1,401.81,401.81,401.81,401.81
GroupedMatmulSwigluQuant,"1868,6144;8,128,384,16,32;8,4096;1868;8",1,1,401.01,401.01,401.01,401.01
GroupedMatmulSwigluQuant,"1858,6144;8,128,384,16,32;8,4096;1858;8",1,1,398.85,398.85,398.85,398.85
GroupedMatmulSwigluQuant,"2091,6144;8,128,384,16,32;8,4096;2091;8",1,1,397.89,397.89,397.89,397.89
GroupedMatmulSwigluQuant,"2022,6144;8,128,384,16,32;8,4096;2022;8",1,1,397.45,397.45,397.45,397.45
GroupedMatmulSwigluQuant,"2095,6144;8,128,384,16,32;8,4096;2095;8",1,1,397.39,397.39,397.39,397.39
GroupedMatmulSwigluQuant,"1730,6144;8,128,384,16,32;8,4096;1730;8",1,1,393.41,393.41,393.41,393.41
GroupedMatmulSwigluQuant,"2230,6144;8,128,384,16,32;8,4096;2230;8",1,1,389.19,389.19,389.19,389.19
GroupedMatmulSwigluQuant,"2272,6144;8,128,384,16,32;8,4096;2272;8",1,1,387.47,387.47,387.47,387.47
GroupedMatmulSwigluQuant,"2182,6144;8,128,384,16,32;8,4096;2182;8",1,1,385.65,385.65,385.65,385.65
GroupedMatmulSwigluQuant,"1910,6144;8,128,384,16,32;8,4096;1910;8",1,1,383.29,383.29,383.29,383.29
GroupedMatmulSwigluQuant,"1714,6144;8,128,384,16,32;8,4096;1714;8",1,1,382.27,382.27,382.27,382.27
GroupedMatmulSwigluQuant,"2124,6144;8,128,384,16,32;8,4096;2124;8",1,1,379.29,379.29,379.29,379.29
GroupedMatmulSwigluQuant,"2069,6144;8,128,384,16,32;8,4096;2069;8",1,1,374.75,374.75,374.75,374.75
GroupedMatmulSwigluQuant,"1712,6144;8,128,384,16,32;8,4096;1712;8",1,1,373.79,373.79,373.79,373.79
GroupedMatmulSwigluQuant,"1584,6144;8,128,384,16,32;8,4096;1584;8",1,1,367.85,367.85,367.85,367.85
GroupedMatmulSwigluQuant,"2020,6144;8,128,384,16,32;8,4096;2020;8",1,1,364.79,364.79,364.79,364.79
GroupedMatmulSwigluQuant,"2006,6144;8,128,384,16,32;8,4096;2006;8",1,1,363.69,363.69,363.69,363.69
GroupedMatmulSwigluQuant,"2097,6144;8,128,384,16,32;8,4096;2097;8",1,1,360.09,360.09,360.09,360.09
GroupedMatmulSwigluQuant,"1866,6144;8,128,384,16,32;8,4096;1866;8",1,1,347.89,347.89,347.89,347.89
GroupedMatmulSwigluQuant,"1904,6144;8,128,384,16,32;8,4096;1904;8",1,1,346.61,346.61,346.61,346.61
GroupedMatmulSwigluQuant,"2074,6144;8,128,384,16,32;8,4096;2074;8",1,1,339.87,339.87,339.87,339.87
GroupedMatmulSwigluQuant,"1785,6144;8,128,384,16,32;8,4096;1785;8",1,1,317.26,317.26,317.26,317.26
GroupedMatmulSwigluQuant,"1876,6144;8,128,384,16,32;8,4096;1876;8",1,1,300.70,300.70,300.70,300.70
GroupedMatmulSwigluQuant,"757,6144;8,128,384,16,32;8,4096;757;8",1,1,232.48,232.48,232.48,232.48
GroupedMatmulSwigluQuant,"704,6144;8,128,384,16,32;8,4096;704;8",1,1,225.24,225.24,225.24,225.24
HistogramV2,"256,8;;",6,72,18.38,20.00,19.73,25.82
HistogramV2,"114,8;;",2,4,18.24,19.60,19.74,20.68
Index,"202752,64;1;2;3",3,654,6.76,8.65,8.54,17.50
Index,340;1;1;3,3,327,6.72,9.13,9.20,17.50
Index,"3,6144;1;2;1",3,327,7.04,9.21,9.20,16.76
Index,"202752,64;1;2;9",2,282,6.66,8.78,8.66,17.88
Index,"202752,64;1;2;6",2,276,6.80,8.72,8.50,16.60
Index,"3,6144;1;2;3",3,218,9.26,10.03,9.80,17.64
Index,272;1;1;1,3,218,8.74,9.98,9.68,17.42
Index,"202752,64;1;2;4096",6,156,39.46,42.20,41.71,63.20
Index,2;1;1;2,4,156,6.76,8.41,8.28,16.22
Index,"9,6144;1;2;3",2,141,7.20,9.47,9.58,16.66
Index,340;1;1;9,2,141,6.26,9.01,9.10,16.56
Index,340;1;1;6,2,138,6.58,9.29,9.44,16.64
Index,"6,6144;1;2;2",2,138,7.10,8.98,9.02,16.40
Index,1;1;1;1,3,110,8.58,9.65,9.65,17.78
Index,"3,154880;1;2;2",3,109,15.16,15.69,15.44,22.26
Index,"3,154880;1;2;1",3,109,11.16,11.81,11.48,19.04
Index,3;1;1;2,3,109,9.60,10.17,10.16,17.54
Index,"9,6144;1;2;9",2,94,10.20,12.05,12.80,17.18
Index,272;1;1;3,2,94,8.84,9.40,9.44,10.02
Index,"6,6144;1;2;6",2,92,10.00,10.80,10.66,17.98
Index,272;1;1;2,2,92,8.70,9.14,9.16,9.84
Index,"4096,6144;1;2;1",4,84,7.24,9.40,9.53,14.56
Index,"202752,64;1;2;24",1,76,7.54,10.09,9.90,15.02
Index,"24,6144;1;2;8",1,57,9.42,10.64,10.32,16.98
Index,340;1;1;24,1,57,6.40,9.12,9.38,16.92
Index,6;1;1;6,2,49,5.62,8.18,8.22,9.36
Index,"9,154880;1;2;6",2,47,30.68,31.48,31.00,38.42
Index,"9,154880;1;2;3",2,47,18.74,19.43,19.22,26.50
Index,9;1;1;6,2,47,9.68,10.20,9.88,16.72
Index,3;1;1;3,2,47,7.84,8.76,8.76,13.04
Index,4;1;1;4,2,47,7.02,8.14,8.08,9.26
Index,"6,154880;1;2;4",2,46,22.12,22.57,22.43,28.58
Index,"6,154880;1;2;2",2,46,14.40,15.07,14.73,21.90
Index,6;1;1;4,2,46,9.16,9.67,9.46,16.60
Index,4096;1;1;1,4,44,8.30,9.35,9.54,10.16
Index,"27,6144;1;2;24",1,38,15.80,18.55,18.38,26.64
Index,"202752,64;1;2;27",1,38,8.22,11.38,10.71,17.64
Index,272;1;1;8,1,38,9.34,9.87,9.91,10.54
Index,"4096,6144;1;2;1365",4,30,32.86,56.92,64.53,69.94
Index,"24,154880;1;2;16",1,19,67.80,69.07,68.96,73.66
Index,"24,154880;1;2;8",1,19,37.58,38.32,38.46,38.94
Index,24;1;1;16,1,19,9.78,10.08,10.06,10.40
Index,8;1;1;8,1,19,5.88,9.52,9.24,15.98
Index,16;1;1;16,1,18,7.60,8.58,8.17,11.00
Index,"202752,64;1;2;21",1,16,6.96,9.85,10.00,13.00
Index,"4096,6144;1;2;5",2,12,7.54,9.48,9.82,10.20
Index,"202752,64;1;2;15",1,12,6.82,8.42,8.04,10.14
Index,4096;1;1;1365,4,10,12.86,13.53,13.33,14.82
Index,"202752,64;1;2;18",1,8,6.48,9.28,8.64,12.74
Index,"202752,64;1;2;1824",1,6,39.46,40.94,41.12,41.96
Index,"21,6144;1;2;7",1,6,9.72,10.17,9.98,11.44
Index,"18,6144;1;2;6",1,6,8.50,9.67,9.47,11.40
Index,"15,6144;1;2;5",1,6,8.30,10.11,9.26,15.82
Index,340;1;1;21,1,6,5.44,8.49,9.19,9.92
Index,340;1;1;15,1,6,6.58,8.73,9.15,9.82
Index,340;1;1;18,1,6,7.24,8.99,9.11,10.30
Index,"202752,64;1;2;12",1,6,5.98,8.57,8.82,11.28
Index,4096;1;1;5,2,6,8.24,10.02,8.77,16.26
Index,"21,6144;1;2;21",1,4,14.80,16.85,16.79,19.00
Index,"21,6144;1;2;18",1,4,14.04,15.38,15.40,16.66
Index,"15,6144;1;2;15",1,4,13.02,16.23,14.90,22.08
Index,"4096,6144;1;2;6",1,4,9.20,10.32,10.52,11.04
Index,"1824,6144;1;2;1",1,4,8.34,9.70,10.10,10.24
Index,272;1;1;6,1,4,9.44,9.94,9.97,10.36
Index,272;1;1;7,1,4,9.42,9.82,9.79,10.26
Index,272;1;1;5,1,4,9.44,9.76,9.60,10.38
Index,"4096,6144;1;2;4",1,4,8.82,9.32,9.37,9.72
Index,"1824,6144;1;2;608",1,3,27.68,32.43,34.70,34.92
Index,340;1;1;12,1,3,5.48,8.16,9.14,9.86
Index,"12,6144;1;2;4",1,3,7.86,8.73,9.12,9.20
Index,"21,154880;1;2;14",1,2,59.94,60.33,60.33,60.72
Index,"18,154880;1;2;12",1,2,53.42,53.71,53.71,54.00
Index,"15,154880;1;2;10",1,2,46.02,46.16,46.16,46.30
Index,"21,154880;1;2;7",1,2,34.02,34.26,34.26,34.50
Index,"18,154880;1;2;6",1,2,30.80,30.84,30.84,30.88
Index,"15,154880;1;2;5",1,2,26.72,26.91,26.91,27.10
Index,"12,6144;1;2;12",1,2,12.22,13.23,13.23,14.24
Index,4096;1;1;4,1,2,8.30,11.40,11.40,14.50
Index,21;1;1;14,1,2,10.28,10.28,10.28,10.28
Index,18;1;1;12,1,2,10.12,10.19,10.19,10.26
Index,15;1;1;10,1,2,9.88,10.11,10.11,10.34
Index,272;1;1;4,1,2,9.28,9.73,9.73,10.18
Index,4096;1;1;6,1,2,9.20,9.31,9.31,9.42
Index,7;1;1;7,1,2,8.74,8.90,8.90,9.06
Index,5;1;1;5,1,2,8.56,8.77,8.77,8.98
Index,14;1;1;14,1,2,6.12,7.80,7.80,9.48
Index,12;1;1;12,1,2,5.52,7.36,7.36,9.20
Index,10;1;1;10,1,2,6.14,6.73,6.73,7.32
Index,"12,154880;1;2;8",1,1,38.22,38.22,38.22,38.22
Index,"12,154880;1;2;4",1,1,23.20,23.20,23.20,23.20
Index,4096;1;1;608,1,1,11.96,11.96,11.96,11.96
Index,12;1;1;8,1,1,10.38,10.38,10.38,10.38
IndexFill,"1,3;;",3,109,21.04,23.96,23.82,27.90
IndexFill,"3,3;;",2,47,23.32,25.34,25.14,28.02
IndexFill,"2,3;;",2,46,20.10,22.59,22.56,25.48
IndexFill,"8,3;;",1,19,23.02,26.89,27.58,30.56
IndexFill,"1,1;1;",4,17,28.86,31.05,30.52,36.42
IndexFill,"1,1;;",4,5,27.84,30.24,31.34,32.00
IndexFill,"5,1;1;",2,3,28.38,29.88,30.30,30.96
IndexFill,"7,3;;",1,2,25.44,26.27,26.27,27.10
IndexFill,"6,3;;",1,2,24.72,25.57,25.57,26.42
IndexFill,"5,3;;",1,2,24.60,25.07,25.07,25.54
IndexFill,"6,1;1;",1,1,32.62,32.62,32.62,32.62
IndexFill,"4,3;;",1,1,28.88,28.88,28.88,28.88
IndexFill,"4,1;1;",1,1,28.08,28.08,28.08,28.08
IndexPutV2,272;1;1;1;1,3,109,8.34,9.19,9.06,14.82
IndexPutV2,272;3;1;1;3,2,47,8.88,9.15,9.06,9.74
IndexPutV2,272;2;1;1;2,2,46,9.40,9.62,9.60,10.12
IndexPutV2,4096;1;1;1;1,4,22,8.54,9.63,9.55,16.02
IndexPutV2,272;8;1;1;8,1,19,9.36,9.63,9.60,9.78
IndexPutV2,4096;5;1;1;5,2,3,9.02,9.30,9.14,9.74
IndexPutV2,272;7;1;1;7,1,2,9.48,9.53,9.53,9.58
IndexPutV2,272;5;1;1;5,1,2,9.44,9.50,9.50,9.56
IndexPutV2,272;6;1;1;6,1,2,9.40,9.50,9.50,9.60
IndexPutV2,272;4;1;1;4,1,1,9.58,9.58,9.58,9.58
IndexPutV2,4096;4;1;1;4,1,1,9.34,9.34,9.34,9.34
IndexPutV2,4096;6;1;1;6,1,1,8.44,8.44,8.44,8.44
InterleaveRope,"256,64,1,64;256,1,1,64;256,1,1,64",6,2080,21.40,23.51,23.38,27.92
InterleaveRope,"114,64,1,64;114,1,1,64;114,1,1,64",1,80,16.90,18.74,18.75,22.54
KvRmsNormRopeCache,"256,1,1,576;512;256,1,1,64;256,1,1,64;256;1678,128,1,64;1678,128,1,512;;;;;",3,1280,13.48,15.00,14.60,26.00
KvRmsNormRopeCache,"256,1,1,576;512;256,1,1,64;256,1,1,64;256;1681,128,1,64;1681,128,1,512;;;;;",2,640,13.36,14.92,14.66,27.82
KvRmsNormRopeCache,"256,1,1,576;512;256,1,1,64;256,1,1,64;256;1680,128,1,64;1680,128,1,512;;;;;",1,160,13.92,15.33,14.78,25.20
KvRmsNormRopeCache,"114,1,1,576;512;114,1,1,64;114,1,1,64;114;1680,128,1,64;1680,128,1,512;;;;;",1,80,12.02,13.41,12.73,21.70
LayerNormV3,"3,128;128;128",3,8611,4.24,5.33,5.14,10.54
LayerNormV3,"9,128;128;128",2,3713,6.02,7.42,7.40,15.04
LayerNormV3,"6,128;128;128",2,3634,5.22,6.43,6.40,13.14
LayerNormV3,"256,128;128;128",6,2080,16.46,21.32,21.18,28.20
LayerNormV3,"27,128;128;128",1,1463,12.54,14.77,14.62,16.86
LayerNormV3,"21,128;128;128",1,312,9.58,11.74,11.66,14.14
LayerNormV3,"15,128;128;128",1,158,7.54,9.35,9.79,11.40
LayerNormV3,"114,128;128;128",1,80,15.54,19.68,19.56,25.22
LayerNormV3,"12,128;128;128",1,79,6.82,8.38,8.58,9.84
LayerNormV3,"24,128;128;128",1,38,11.86,12.76,12.81,13.52
LayerNormV3,"18,128;128;128",1,4,8.86,9.22,9.11,9.82
LayerNormV3WithImplMode,"3,128;128;128",3,109,5.96,6.72,6.74,7.54
LayerNormV3WithImplMode,"9,128;128;128",2,47,7.42,8.14,8.10,9.60
LayerNormV3WithImplMode,"6,128;128;128",2,46,6.46,7.16,7.18,7.72
LayerNormV3WithImplMode,"27,128;128;128",1,19,13.42,14.26,14.24,15.04
LayerNormV3WithImplMode,"21,128;128;128",1,4,11.18,11.39,11.40,11.60
